name,iata,icao,country,lat,lon
A Coruna Airport,LCG,LECO,Spain,43.302059,-8.37725
Aachen Merzbruck Airport,AAH,EDKA,Germany,50.821899,6.184759
Aalborg Airport,AAL,EKYT,Denmark,57.095112,9.855172
Aalen Elchingen Airport,QME,EDPA,Germany,48.777927,10.264953
Aarhus Airport,AAR,EKAH,Denmark,56.303295,10.619129
Aarhus Sea Airport,QEA,EKAC,Denmark,56.151993,10.247725
Aasiaat Airport,JEG,BGAA,Greenland,68.72184,-52.784698
Abadan Airport,ABD,OIAA,Iran,30.371111,48.228329
Abaiang Airport,ABF,NGAB,Kiribati,1.79904,173.040268
Abakan International Airport,ABA,UNAA,Russia,53.740002,91.385002
Abbeyshrule Airport,QIH,EIAB,Ireland,53.591366,-7.643234
Abbotsford International Airport,YXX,CYXX,Canada,49.025269,-122.360001
Abemama Airport,AEA,NGTB,Kiribati,0.49094,173.829086
Aberdeen International Airport,ABZ,EGPD,United Kingdom,57.201939,-2.19777
Aberdeen Phillips Army Airfield,APG,KAPG,United States,39.465496,-76.168198
Aberdeen Regional Airport,ABR,KABR,United States,45.439999,-98.419998
Abha Regional Airport,AHB,OEAB,Saudi Arabia,18.24036,42.65662
Abidjan Port Bouet Airport,ABJ,DIAP,Ivory Coast,5.261386,-3.92629
Abilene Regional Airport,ABI,KABI,United States,32.411301,-99.681801
Abingdon Downs Airport,ABG,YABI,Australia,-17.607372,143.183395
Abingdon Virginia Highlands Airport,VJI,KVJI,United States,36.686111,-82.033333
Abu Dhabi Al Bateen Executive Airport,AZI,OMAD,United Arab Emirates,24.428329,54.45808
Abu Dhabi Al Dhafra Air Base,DHF,OMAM,United Arab Emirates,24.248199,54.547699
Abu Dhabi Zayed International Airport,AUH,OMAA,United Arab Emirates,24.442856,54.651474
Abu Musa Island Airport,AEU,OIBA,Iran,25.8757,55.033001
Abu Simbel Airport,ABS,HEBL,Egypt,22.37595,31.611719
Abuja Nnamdi Azikiwe International Airport,ABV,DNAA,Nigeria,9.006792,7.263172
Acandi Alcides Fernandez Airport,ACD,SKAD,Colombia,8.498886,-77.27417
Acapulco International Airport,ACA,MMAA,Mexico,16.757059,-99.753899
Acarigua Oswaldo Guevara Mujica Airport,AGV,SVAC,Venezuela,9.553295,-69.237045
Accra Kotoka International Airport,ACC,DGAA,Ghana,5.605186,-0.16678
Ada Municipal Airport,ADT,KADH,United States,34.804298,-96.671303
Adado Airport,AAD,HCAD,Somalia,6.09578,46.637146
Adak Airport,ADK,PADK,United States,51.87796,-176.645996
Adampur Airport,AIP,VIAX,India,31.433056,75.760559
Adana Incirlik Airport,UAB,LTAG,Turkey,37.001099,35.424721
Adana Sakirpasa Airport,ADA,LTAF,Turkey,36.982159,35.28038
Addis Ababa Bole Airport,ADD,HAAB,Ethiopia,8.977889,38.799309
Adelaide Airport,ADL,YPAD,Australia,-34.947392,138.533417
Adelaide Parafield Airport,QBP,YPPF,Australia,-34.793682,138.635376
Aden International Airport,ADE,OYAA,Yemen,12.82954,45.02879
Adiyaman Airport,ADF,LTCP,Turkey,37.731361,38.468929
Adrar Airport,AZR,DAUA,Algeria,27.83758,-0.18641
Adrian Lenawee County Airport,ADG,KADG,United States,41.86607,-84.078293
Afton Municipal Airport,AFO,KAFO,United States,42.711201,-110.942001
Agades Mano Dayak International Airport,AJY,DRZA,Niger,16.96599,8.000114
Agadir Al Massira Airport,AGA,GMAD,Morocco,30.324989,-9.41306
Agartala Airport,IXA,VEAT,India,23.886971,91.240448
Agatti Airport,AGX,VOAT,India,10.82365,72.176041
Agen La Garenne Airport,AGF,LFBA,France,44.174709,0.590619
Aghajari Airport,AKW,OIAG,Iran,30.7444,49.6772
Agra Airport,AGR,VIAG,India,27.15583,77.960892
Agri Ahmed-i Hani Airport,AJI,LTCO,Turkey,39.655582,43.025818
Agua Boa Airport,GGB,SWHP,Brazil,-14.019444,-52.152222
Aguachica Hacaritama Airport,HAY,SKAG,Colombia,8.246203,-73.579628
Aguadilla Rafael Hernandez Airport,BQN,TJBQ,Puerto Rico,18.49486,-67.129402
Aguascalientes International Airport,AGU,MMAS,Mexico,21.705549,-102.317001
Aguni Airport,AGJ,RORA,Japan,26.592718,127.240433
Ahe Airport,AHE,NTHE,French Polynesia,-14.42759,-146.255981
Ahmedabad International Airport,AMD,VAAH,India,23.07724,72.634651
Ahwaz International Airport,AWZ,OIAW,Iran,31.337429,48.761951
Aiken Municipal Airport,AIK,KAIK,United States,33.649399,-81.684998
Ainsworth Regional Airport,ANW,KANW,United States,42.577194,-99.99649
Airai Roman Tmetuchl International Airport,ROR,PTRO,Palau,7.367303,134.544205
Aitutaki Airport,AIT,NCAI,Cook Islands,-18.8309,-159.764008
Aix-en-Provence Airport,QXB,LFMA,France,43.505264,5.367415
Aizawl Lengpui Airport,AJL,VELP,India,23.838442,92.620361
Ajaccio Napoleon Bonaparte Airport,AJA,LFKJ,France,41.923882,8.8025
Akhiok Airport,AKK,PAKH,United States,56.938873,-154.181931
Akiak Airport,AKI,PFAK,United States,60.902901,-161.231003
Akita Airport,AXT,RJSK,Japan,39.615551,140.218597
Aklavik Airport,LAK,CYKD,Canada,68.223297,-135.005997
Akron Canton Airport,CAK,KCAK,United States,40.91608,-81.442101
Akron Colorado Plains Regional Airport,AKO,KAKO,United States,40.175499,-103.221703
Akron Fulton International Airport,AKC,KAKR,United States,41.037498,-81.466904
Aksu Airport,AKU,ZWAK,China,41.262501,80.291664
Aktau Airport,SCO,UATE,Kazakhstan,43.86005,51.091969
Aktion National Airport,PVK,LGPZ,Greece,38.925461,20.76531
Aktobe Airport,AKX,UATT,Kazakhstan,50.245831,57.206661
Akulivik Airport,AKV,CYKO,Canada,60.818611,-78.148613
Akure Airport,AKR,DNAK,Nigeria,7.246739,5.301008
Akureyri Airport,AEY,BIAR,Iceland,65.658607,-18.072201
Akutan Airport,KQA,PAUT,United States,54.145771,-165.606537
Al Ain International Airport,AAN,OMAL,United Arab Emirates,24.26166,55.609161
Al Asad Air Base,IQA,ORAA,Iraq,33.785599,42.4412
Al Ghaydah Airport,AAY,OYGD,Yemen,16.193453,52.175129
Al Hoceima Cherif Al Idrissi Airport,AHU,GMTA,Morocco,35.177101,-3.83952
Al Najaf International Airport,NJF,ORNI,Iraq,31.991667,44.404167
Al Udeid Air Base,XJD,OTBH,Qatar,25.114941,51.316105
Al Ula  Airport,ULH,OEAO,Saudi Arabia,26.480862,38.116653
Al Wajh Airport,EJH,OEWJ,Saudi Arabia,26.198334,36.476112
Al-Baha Domestic Airport,ABT,OEBA,Saudi Arabia,20.296129,41.63427
Al-Bough Airport,BUK,OYBQ,Yemen,17.346783,44.62009
Al-Qamishli Airport,KAC,OSKL,Syria,37.031025,41.205559
Al-Qassim International Airport,ELQ,OEGS,Saudi Arabia,26.30282,43.773911
Alakanuk Airport,AUK,PAUK,United States,62.683056,-164.722198
Alamogordo White Sands Regional Airport,ALM,KALM,United States,32.845833,-105.985275
Alamosa San Luis Valley Regional Airport,ALS,KALS,United States,37.43491,-105.865997
Albacete Airport,ABC,LEAB,Spain,38.948502,-1.86352
Albany Airport,ALH,YABA,Australia,-34.939999,117.800003
Albany International Airport,ALB,KALB,United States,42.749111,-73.801903
Albany Southwest Georgia Regional Airport,ABY,KABY,United States,31.535526,-84.193428
Albenga Clemente Panero International Airport,ALL,LIMG,Italy,44.050598,8.127428
Albert Lea Municipal Airport,AEL,KAEL,United States,43.680988,-93.368599
Albert Picardie Airport,BYF,LFAQ,France,49.970394,2.698432
Albertville Airport,QFA,LFKA,France,45.626598,6.329078
Albi Le Sequestre Airport,LBI,LFCI,France,43.913269,2.11675
Albuquerque International Airport,ABQ,KABQ,United States,35.040218,-106.609001
Albury Airport,ABX,YMAY,Australia,-36.066952,146.958008
Aldan Airport,ADH,UEEA,Russia,58.602772,125.408798
Alderney Airport,ACI,EGJA,Guernsey,49.706745,-2.214291
Aldinga Airport,QBX,YADG,Australia,-35.288708,138.494247
Alegrete Novo Airport,ALQ,SSLT,Brazil,-29.8127,-55.893398
Aleksandrovsk-Sakhalinskiy Airport,UHS,UHSA,Russia,50.877796,142.175186
Alenquer Airport,ALT,SDWQ,Brazil,-1.917034,-54.723213
Aleppo International Airport,ALP,OSAP,Syria,36.180672,37.22435
Alert Airport,YLT,CYLT,Canada,82.517776,-62.280556
Ales Deaux Airport,QFX,LFMS,France,44.069691,4.141985
Alesund Vigra Airport,AES,ENAL,Norway,62.560371,6.110164
Alexander Bay Airport,ALJ,FAAB,South Africa,-28.57095,16.531851
Alexander City Thomas C Russell Field,ALX,KALX,United States,32.915195,-85.962997
Alexandra Airport,ALR,NZLX,New Zealand,-45.210995,169.371368
Alexandria Borg El Arab Airport,HBE,HEAX,Egypt,30.91766,29.6964
Alexandria Esler Regional Airport,ESF,KESF,United States,31.394314,-92.294136
Alexandria Homestead Airport,AXL,YALX,Australia,-19.061113,136.712814
Alexandria International Airport,AEX,KAEX,United States,31.32737,-92.5485
Alexandria Municipal Airport,AXN,KAXN,United States,45.867222,-95.394165
Alexandroupolis International Airport,AXD,LGAL,Greece,40.855862,25.956261
Algeciras Heliport,QYH,LEAG,Spain,36.128887,-5.441111
Alghero Fertilia Airport,AHO,LIEA,Italy,40.63213,8.290772
Algiers Houari Boumediene Airport,ALG,DAAG,Algeria,36.69101,3.215408
Ali Pulan Airport,APJ,ZUPL,China,30.397499,81.138611
Alicante Airport,ALC,LEAL,Spain,38.282162,-0.55815
Alicante Mutxamel Airport,QOM,LEMU,Spain,38.440197,-0.474257
Alice International Airport,ALI,KALI,United States,27.740879,-98.026901
Alice Springs Airport,ASP,YBAS,Australia,-23.806208,133.903107
Aliceville George Downer Airport,AIV,KAIV,United States,33.107471,-88.195526
Aligarh Airport,HRH,VIAH,India,27.861685,78.144745
Allakaket Airport,AET,PFAL,United States,66.551804,-152.621994
Allendorf Airport,QEQ,EDFQ,Germany,51.035713,8.679523
Allentown Lehigh Valley International Airport,ABE,KABE,United States,40.652302,-75.440399
Alliance Municipal Airport,AIA,KAIA,United States,42.053219,-102.803001
Alma Airport,YTF,CYTF,Canada,48.509655,-71.642715
Alma Gratiot Community Airport,AMN,KAMN,United States,43.32299,-84.689911
Almaty Boraldai Airport,BXJ,UAAR,Kazakhstan,43.351616,76.88269
Almaty International Airport,ALA,UAAA,Kazakhstan,43.354755,77.044792
Almeirim Airport,GGF,SNYA,Brazil,-1.479167,-52.578056
Almenara Cirilo Queiroz Airport,AMJ,SNAR,Brazil,-16.167686,-40.686485
Almeria Airport,LEI,LEAM,Spain,36.843929,-2.37009
Alor Island Airport,ARD,WATM,Indonesia,-8.13234,124.597
Alor Setar Sultan Abdul Halim Airport,AOR,WMKA,Malaysia,6.189667,100.398102
Alpena County Regional Airport,APN,KAPN,United States,45.081669,-83.555832
Alpha Airport,ABH,YAPH,Australia,-23.650385,146.583054
Alpine Casparis Municipal Airport,ALE,KE38,United States,30.387016,-103.681152
Alta Airport,ALF,ENAT,Norway,69.976112,23.37166
Alta Floresta Airport,AFL,SBAT,Brazil,-9.86609,-56.106201
Altai Airport,LTI,ZMAT,Mongolia,46.376373,96.221054
Altamira Airport,ATM,SBHT,Brazil,-3.2539,-52.253899
Altay Airport,AAT,ZWAT,China,47.750362,88.084442
Altenburg Nobitz Airport,AOC,EDAC,Germany,50.981812,12.50636
Altenstadt Air Base,QCA,ETHA,Germany,47.835518,10.870574
Alton Downs Airport,AWN,YADS,Australia,-26.489031,139.259827
Alton St. Louis Regional Airport,ALN,KALN,United States,38.890301,-90.045998
Altoona Blair County Airport,AOO,KAOO,United States,40.296371,-78.32
Altus Quartz Mountain Regional Airport,AXS,KAXS,United States,34.698288,-99.338455
Alverca Airport,QOA,LPAR,Portugal,38.884068,-9.029201
Alxa Left Banner Airport,AXF,ZBAL,China,38.747047,105.585693
Alzintan Airport,ZIS,HLZN,Libya,31.775,12.25
Amakusa Airport,AXJ,RJDA,Japan,32.483261,130.15564
Amami Airport,ASJ,RJKA,Japan,28.43063,129.712494
Amari Air Base,QDE,EEEI,Estonia,59.259361,24.203568
Amarillo Rick Husband  International Airport,AMA,KAMA,United States,35.21936,-101.705002
Amarillo Tradewind Airport,TDW,KTDW,United States,35.169899,-101.825996
Amata Airport,AMT,YAMT,Australia,-26.097277,131.202667
Ambala Airport,AMI,VIAM,India,30.374516,76.809647
Ambikapur Maa Mahamaya Airport,AHA,VEAP,India,22.991812,83.194374
Ambler Airport,ABL,PAFM,United States,67.087502,-157.84584
Ambon Pattimura Airport,AMQ,WAPP,Indonesia,-3.71026,128.089096
Amboseli Airport,ASV,HKAM,Kenya,-2.633,37.25
Ames Municipal Airport,AMW,KAMW,United States,41.992001,-93.621803
Amesbury MOD Boscombe Down,QUA,EGDM,United Kingdom,51.158348,-1.741247
Amgu Airport,AEM,UHTG,Russia,45.841248,137.673462
Amiens Glisy Airport,QFY,LFAY,France,49.87262,2.388647
Amman Civil Airport,ADJ,OJAM,Jordan,31.9727,35.991562
Amman Queen Alia International Airport,AMM,OJAI,Jordan,31.722549,35.99321
Amos Magny Airport,YEY,CYEY,Canada,48.564838,-78.249146
Ampana Tanjung Api Airport,OJU,WAFU,Indonesia,-0.864846,121.627632
Amravati Airport,AVR,VAAM,India,20.814203,77.721405
Amritsar International Airport,ATQ,VIAR,India,31.709591,74.797256
Amsterdam Schiphol Airport,AMS,EHAM,Netherlands,52.308609,4.763889
Anaa Airport,AAA,NTGA,French Polynesia,-17.353258,-145.509583
Anacortes Airport,OTS,K74S,United States,48.498489,-122.662453
Anadyr Ugolny Airport,DYR,UHMA,Russia,64.730003,177.740005
Anaktuvuk Pass Airport,AKP,PAKP,United States,68.129997,-151.740005
Anapa Airport,AAQ,URKA,Russia,45.00209,37.347271
Anapolis Airport,APS,SWNS,Brazil,-16.362453,-48.927197
Ancenis Airport,QFF,LFFI,France,47.406914,-1.179485
Anchorage Elmendorf Air Force Base,EDF,PAED,United States,61.252537,-149.797928
Anchorage Merrill Field Airport,MRI,PAMR,United States,61.213539,-149.843994
Anchorage Ted Stevens International Airport,ANC,PANC,United States,61.174358,-149.996002
Ancona Airport,AOI,LIPY,Italy,43.616341,13.36231
Andamooka Airport,ADO,YAMK,Australia,-30.437939,137.138779
Andenes Andoya Airport,ANX,ENAN,Norway,69.292503,16.144159
Andersen Air Force Base,UAM,PGUA,Guam,13.583723,144.929474
Anderson Municipal Airport,AID,KAID,United States,40.108665,-85.613815
Anderson Regional Airport,AND,KAND,United States,34.494579,-82.709297
Andizhan Airport,AZN,UZFA,Uzbekistan,40.72773,72.294006
Andorra La Seu de Urgel Airport,LEU,LESU,Spain,42.34058,1.410326
Andros Town International Airport,ASD,MYAF,Bahamas,24.69828,-77.795601
Anegada Auguste George Airport,NGD,TUPA,Virgin Islands British,18.727394,-64.330055
Angel Fire Airport,AXX,KAXX,United States,36.421898,-105.289955
Angeles City Clark International Airport,CRK,RPLC,Philippines,15.18598,120.560303
Angelholm Helsingborg Airport,AGH,ESTA,Sweden,56.290092,12.857408
Angers Loire Airport,ANE,LFJR,France,47.56028,-0.312222
Anglesey Airport,VLY,EGOV,United Kingdom,53.250095,-4.539055
Angola Tri-State Steuben County Airport,ANQ,KANQ,United States,41.639702,-85.083504
Angoon Seaplane Base,AGN,PAGN,United States,57.497993,-134.572617
Angouleme Cognac International Airport,ANG,LFBU,France,45.729469,0.219153
Angra dos Reis Airport,GDR,SDAG,Brazil,-22.975279,-44.30722
Anholt Airport,QMA,EKAT,Denmark,56.699223,11.556587
Aniak Airport,ANI,PANI,United States,61.581669,-159.54306
Anjouan Ouani Airport,AJN,FMCV,Comoros,-12.1316,44.430271
Ankang Fuqiang Airport,AKA,ZLAK,China,32.708099,108.931046
Ankara Esenboga International Airport,ESB,LTAC,Turkey,40.127422,32.996021
Ankeny Regional Airport,QQK,KIKV,United States,41.691113,-93.566391
Ann Airport,VBA,VYAN,Myanmar (Burma),19.770643,94.026405
Ann Arbor Municipal Airport,ARB,KARB,United States,42.223057,-83.74556
Annaba Rabah Bitat Airport,AAE,DABB,Algeria,36.82222,7.809167
Annapolis Lee Airport,ANP,KANP,United States,38.942902,-76.568398
Annecy Mont Blanc Airport,NCY,LFLP,France,45.930771,6.106289
Annemasse Airport,QYA,LFLI,France,46.19194,6.269444
Annette Island Airport,ANN,PANT,United States,55.037476,-131.573212
Anniston Regional,ANB,KANB,United States,33.588161,-85.858101
Annobon Airport,NBN,FGAN,Equatorial Guinea,-1.408897,5.62394
Anqing Tianzhushan Airport,AQG,ZSAQ,China,30.582333,117.050362
Anshan Teng'ao Airport,AOG,ZYAS,China,41.103523,122.855835
Anshun Huangguoshu Airport,AVA,ZUAS,China,26.260555,105.873337
Antakya Hatay Airport,HTY,LTDA,Turkey,36.35939,36.283939
Antalya Airport,AYT,LTAI,Turkey,36.898731,30.800461
Antananarivo Ivato International Airport,TNR,FMMI,Madagascar,-18.7969,47.478802
Anthony Municipal Airport,ANY,KANY,United States,37.158127,-98.079041
Antigua V. C. Bird International Airport,ANU,TAPA,Antigua And Barbuda,17.13674,-61.792599
Antofagasta International Airport,ANF,SCFA,Chile,-23.444401,-70.445099
Antsiranana Arrachart Airport,DIE,FMNA,Madagascar,-12.3494,49.29174
Antwerp International Airport,ANR,EBAW,Belgium,51.19014,4.462338
Anvik Airport,ANV,PANV,United States,62.647778,-160.188889
Anyang Hongqiqu Airport,HQQ,ZHQQ,China,35.869514,114.465767
Aomori Airport,AOJ,RJSA,Japan,40.734718,140.690796
Aosta Airport,AOT,LIMW,Italy,45.738499,7.36872
Apalachicola Regional Airport,AAF,KAAF,United States,29.726906,-85.028198
Apartado Airport,APO,SKLC,Colombia,7.817678,-76.717659
Apataki Airport,APK,NTGD,French Polynesia,-15.575026,-146.413361
Apatity Airport,KVK,ULMK,Russia,67.463303,33.588299
Apia Faleolo International Airport,APW,NSFA,Samoa,-13.8296,-171.996994
Apple Valley Airport,APV,KAPV,United States,34.575298,-117.185997
Appleton International Airport,ATW,KATW,United States,44.258091,-88.518997
Apucarana Airport,APU,SSAP,Brazil,-23.609501,-51.384499
Apui Airport,IUP,SWYN,Brazil,-7.1727,-59.839409
Aqaba King Hussein International Airport,AQJ,OJAQ,Jordan,29.61161,35.018059
Aracaju Santa Maria Airport,AJU,SBAR,Brazil,-10.984,-37.070301
Aracati Airport,ARX,SBAC,Brazil,-4.56861,-37.804722
Aracatuba Airport,ARU,SBAU,Brazil,-21.1413,-50.424702
Arad International Airport,ARW,LRAR,Romania,46.176552,21.26202
Araguaina Airport,AUX,SWGN,Brazil,-7.227867,-48.240467
Arak Airport,AJK,OIHR,Iran,34.1381,49.847301
Aral Talim Airport,ACF,ZWAL,China,40.435261,81.263084
Arapiraca Airport,APQ,SNAL,Brazil,-9.77684,-36.630852
Arapongas Airport,APX,SSOG,Brazil,-23.3529,-51.491699
Arar Domestic Airport,RAE,OERR,Saudi Arabia,30.90658,41.13821
Araraquara Airport,AQA,SBAQ,Brazil,-21.812,-48.132999
Ararat Airport,ARY,YARA,Australia,-37.310833,142.989899
Araripina Airport,JAW,SNAB,Brazil,-7.5864,-40.5354
Aratika Airport,RKA,NTKK,French Polynesia,-15.485568,-145.465286
Arauca Santiago Perez Quiroz Airport,AUC,SKUC,Colombia,7.068889,-70.7369
Araxa Airport,AAX,SBAX,Brazil,-19.562658,-46.961014
Arba Minch Airport,AMH,HAAM,Ethiopia,6.039389,37.59045
Arcachon La Teste-de-Buch Airport,XAC,LFCH,France,44.595768,-1.114312
Arcata Eureka Airport,ACV,KACV,United States,40.978111,-124.108002
Arctic Bay Airport,YAB,CYAB,Canada,73.006386,-85.047218
Arctic Village,ARC,PARC,United States,68.110001,-145.570007
Ardabil Airport,ADU,OITL,Iran,38.323826,48.421249
Ardmore Airport,AMZ,NZAR,New Zealand,-37.029701,174.973007
Ardmore Downtown Executive Airport,AHD,K1F0,United States,34.147793,-97.122688
Ardmore Municipal Airport,ADM,KADM,United States,34.303009,-97.0196
Arecibo Antonio Juarbe Pol Airport,ARE,TJAB,Puerto Rico,18.450836,-66.675621
Arendal Gullknapp Airport,QCG,ENGK,Norway,58.518326,8.707467
Arequipa Rodriguez Ballon International Airport,AQP,SPQU,Peru,-16.341,-71.583
Argyle Airport,GYL,YARG,Australia,-16.629999,128.449997
Arica Chacalluta International Airport,ARI,SCAR,Chile,-18.348499,-70.338699
Aripuana Airport,AIR,SSOU,Brazil,-10.186673,-59.457531
Ariquemes Airport,AQM,SJOG,Brazil,-9.880993,-63.047237
Arkhangelsk Talagi Airport,ARH,ULAA,Russia,64.600281,40.71666
Arkhangelsk Vaskovo Airport,VKV,ULAH,Russia,64.441689,40.422092
Arlington Municipal Airport,QQW,KAWO,United States,48.160831,-122.15889
Arlington Municipal Airport,QQG,KGKY,United States,32.66,-97.089996
Armenia El Eden International Airport,AXM,SKAR,Colombia,4.453333,-75.7658
Armidale Airport,ARM,YARM,Australia,-30.528334,151.616669
Armstrong Airport,YYW,CYYW,Canada,50.293919,-88.91021
Arnsberg Menden Airport,QRL,EDLA,Germany,51.483986,7.898569
Arorae Airport,AIS,NGTR,Kiribati,-2.616217,176.802185
Artesia Municipal Airport,ATS,KATS,United States,32.852501,-104.468002
Arthur's Town Airport,ATC,MYCA,Bahamas,24.628611,-75.671387
Arua Airport,RUA,HUAR,Uganda,3.049893,30.911785
Arusha Airport,ARK,HTAR,Tanzania,-3.36779,36.633331
Arutua Airport,AXR,NTGU,French Polynesia,-15.2463,-146.619995
Arviat Airport,YEK,CYEK,Canada,61.094158,-94.070801
Arvidsjaur Airport,AJR,ESNX,Sweden,65.590271,19.28194
Arxan Yiershi Airport,YIE,ZBES,China,47.310555,119.911942
Asaba International Airport,ABB,DNAS,Nigeria,6.203055,6.667222
Asahikawa Airport,AKJ,RJEC,Japan,43.67083,142.447495
Ascension Island Airport,ASI,FHAW,Saint Helena,-7.9696,-14.3937
Aschaffenburg Airport,QRF,EDFC,Germany,49.938927,9.063013
Ashburton Airport,ASG,NZAS,New Zealand,-43.902866,171.798935
Asheville Regional Airport,AVL,KAVL,United States,35.436192,-82.541801
Ashgabat International Airport,ASB,UTAA,Turkmenistan,37.986809,58.360958
Ashland Hanover County Municipal Airport,QSP,KOFP,United States,37.708027,-77.436058
Ashland John F Kennedy Memorial Airport,ASX,KASX,United States,46.551807,-90.918358
Ashtabula Northeast Ohio Regional Airport,JFN,KHZY,United States,41.77774,-80.697029
Asmara International Airport,ASM,HHAS,Eritrea,15.29185,38.91066
Asosa Airport,ASO,HASO,Ethiopia,10.01855,34.58625
Aspen Pitkin County Airport,ASE,KASE,United States,39.22208,-106.86834
Assaluyeh Persian Gulf Airport,PGU,OIBP,Iran,27.383959,52.735516
Assiut Airport,ATZ,HEAT,Egypt,27.046499,31.01198
Astana Nursultan Nazarbayev International Airport,NQZ,UACC,Kazakhstan,51.022221,71.466942
Astoria Regional Airport,AST,KAST,United States,46.159721,-123.879997
Astrakhan Narimanovo Airport,ASF,URWA,Russia,46.283329,48.006271
Asturias Airport,OVD,LEAS,Spain,43.56356,-6.03462
Astypalaia Island National Airport,JTY,LGPL,Greece,36.579887,26.375822
Asuncion Silvio Pettirossi International Airport,ASU,SGAS,Paraguay,-25.239799,-57.5191
Aswan International Airport,ASW,HESN,Egypt,23.96435,32.819969
Atalaya Gerardo Perez Pinedo Airport,AYX,SPAY,Peru,-10.728098,-73.765457
Atambua Haliwen Airport,ABU,WATA,Indonesia,-9.074864,124.903091
Ataq Airport,AXK,OYAT,Yemen,14.55132,46.82618
Atar International Airport,ATR,GQPA,Mauritania,20.500992,-13.046662
Atauro Airport,AUT,WPAT,Timor-Leste (East Timor),-8.243113,125.606392
Athens Ben Epps Airport,AHN,KAHN,United States,33.95195,-83.324722
Athens Eleftherios Venizelos,ATH,LGAV,Greece,37.936352,23.94446
Athens Gordon K. Bush Airport,ATO,KUNI,United States,39.210999,-82.2314
Athens McMinn County Airport,MMI,KMMI,United States,35.397221,-84.5625
Atikokan Airport,YIB,CYIB,Canada,48.77364,-91.639442
Atka Airport,AKB,PAAK,United States,52.21701,-174.204788
Atlanta Cobb County Airport,QQR,KRYY,United States,34.013058,-84.59861
Atlanta DeKalb Peachtree Airport,PDK,KPDK,United States,33.869999,-84.300003
Atlanta Fulton County Airport,FTY,KFTY,United States,33.777195,-84.521141
Atlanta Hartsfield-Jackson International Airport,ATL,KATL,United States,33.636719,-84.428001
Atlanta Regional Airport,QTF,KFFC,United States,33.357475,-84.572121
Atlanta Speedway Airport,QDM,KHMP,United States,33.390255,-84.330452
Atlantic City International Airport,ACY,KACY,United States,39.457581,-74.577103
Atlantic Municipal Airport,AIO,KAIO,United States,41.405624,-95.048485
Atmautluak Airport,ATT,K4A2,United States,60.866539,-162.273621
Atqasuk Airport,ATK,PATQ,United States,70.467056,-157.435471
Attawapiskat Airport,YAT,CYAT,Canada,52.919998,-82.43
Atuona Airport,AUQ,NTMN,French Polynesia,-9.76879,-139.011002
Atwater Castle Airport,MER,KMER,United States,37.380482,-120.568001
Atyrau Airport,GUW,UATG,Kazakhstan,47.121941,51.821381
Aubenas Airport,OBS,LFHO,France,44.54158,4.371905
Aubigny-sur-Nere Airport,QFH,LFEH,France,47.479584,2.392455
Auburn Airport,LEW,KLEW,United States,44.048611,-70.283607
Auburn Municipal Airport,AUN,KAUN,United States,38.9548,-121.082001
Auburn University Regional Airport,AUO,KAUO,United States,32.615101,-85.433998
Auch Gers Airport,QRH,LFDH,France,43.685604,0.599999
Auckland Airport,AKL,NZAA,New Zealand,-37.010914,174.790176
Augsburg Airport,AGB,EDMA,Germany,48.425152,10.93176
Augusta Daniel Field Airport,DNL,KDNL,United States,33.468098,-82.0392
Augusta Regional Airport,AGS,KAGS,United States,33.369942,-81.9645
Augusta State Airport,AUG,KAUG,United States,44.320648,-69.797302
Auki Airport,AKS,AGGA,Solomon Islands,-8.702528,160.681778
Aupaluk Airport,YPJ,CYLA,Canada,59.296665,-69.599724
Aurangabad Airport,IXU,VAAU,India,19.86272,75.398109
Aurillac Tronquieres Airport,AUR,LFLW,France,44.897579,2.416719
Aurora State Airport,QSA,KUAO,United States,45.247269,-122.77002
Aurukun Airport,AUU,YAUR,Australia,-13.353889,141.72084
Austin Bergstrom International Airport,AUS,KAUS,United States,30.194521,-97.6698
Austin Executive Airport,EDC,KEDC,United States,30.389999,-97.559998
Austin Municipal Airport,AUM,KAUM,United States,43.663853,-92.933189
Auvergne Airport,AVG,YAUV,Australia,-15.690627,130.00882
Auxerre Branches Airport,AUF,LFLA,France,47.846321,3.496578
Avalon Catalina Airport,AVX,KAVX,United States,33.404999,-118.415833
Avarua Rarotonga International Airport,RAR,NCRG,Cook Islands,-21.2027,-159.804993
Aviano Air Base,AVB,LIPA,Italy,46.031879,12.59647
Avignon Caumont Airport,AVN,LFMV,France,43.906582,4.902028
Avoca Wilkes-Barre/Scranton International Airport,AVP,KAVP,United States,41.33847,-75.723297
Avon Park Executive Airport,AVO,KAVO,United States,27.590343,-81.528511
Awali Sakhir Air Base,KHB,OBKH,Bahrain,26.034721,50.524445
Awasa Airport,AWA,HALA,Ethiopia,7.095,38.398335
Axarquia Airport,QOX,LEAX,Spain,36.801296,-4.135516
Axum Airport,AXU,HAAX,Ethiopia,14.14675,38.772831
Ayacucho Airport,AYP,SPHO,Peru,-13.1548,-74.204399
Aydin Cildir Airport,CII,LTBD,Turkey,37.815407,27.887142
Ayers Rock Airport,AYQ,YAYE,Australia,-25.185343,130.976395
Ayodhya Airport,AYJ,VEAY,India,26.751339,82.15538
Ayolas Juan De Ayolas Airport,AYO,SGAY,Paraguay,-27.371983,-56.854332
Ayr Airport,AYR,YAYR,Australia,-19.591232,147.326462
